CustomerID,CustomerGroup,AgeGroup,Sum_Price,Unique_ProductNr
10-105-877-665,CC1,Adult,2993.15,45
11-110-421-578,CC2,Adult,2982.52,48
11-112-218-520,CC2,Adult,2595.43,37
11-119-963-528,CC1,Adult,3674.64,56
13-130-232-359,CC1,Adult,3260.72,48
13-137-859-810,CC1,Adult,4255.36,64
13-139-268-634,CC3,Adult,2951.96,44
14-141-299-369,CC3,Adult,4459.56,64
15-153-294-823,CC1,Adult,3350.4900000000002,51
15-155-340-852,CC1,Adult,4757.32,68
15-156-331-220,CC3,Adult,2988.18,42
16-160-351-620,CC2,Adult,4062.9900000000002,61
16-161-146-904,CC3,Adult,3642.49,51
16-161-793-897,CC1,Adult,4199.18,62
16-162-436-498,CC1,Adult,3476.23,57
16-167-327-189,CC3,Adult,2746.98,42
16-169-152-220,CC2,Adult,4005.8,60
17-172-622-400,CC1,Adult,2986.75,45
17-172-829-911,CC1,Adult,3624.67,53
18-180-696-811,CC3,Adult,3571.07,53
18-185-477-906,CC2,Adult,3544.1,50
19-194-205-351,CC2,Adult,4475.55,65
19-194-793-422,CC2,Adult,3935.84,56
19-195-539-680,CC3,Adult,5093.84,76
19-197-381-689,CC1,Older Adult,4780.53,67
19-197-794-857,CC2,Adult,2849.7200000000003,47
19-198-517-341,CC2,Adult,3957.82,58
19-199-601-557,CC3,Adult,4041.79,61
20-208-442-545,CC1,Adult,3460.46,54
21-212-480-468,CC1,Adult,3821.62,58
21-213-300-612,CC3,Adult,3360.4900000000002,51
21-213-953-733,CC1,Adult,3589.4700000000003,53
21-219-791-186,CC3,Adult,3734.42,58
22-220-141-312,CC1,Adult,3552.07,53
22-222-175-878,CC3,Older Adult,3917.9900000000002,61
22-226-400-554,CC1,Adult,4209.8099999999995,59
23-230-669-404,CC1,Adult,3112.69,50
23-230-711-481,CC1,Adult,2628.8,40
23-231-165-436,CC1,Adult,3413.67,53
23-233-375-314,CC1,Adult,3477.52,48
23-235-894-215,CC2,Adult,3344.71,49
24-242-727-573,CC1,Adult,2449.66,34
